,Months Held,Share of Active Months,Average Active Weight
NVDA,109,0.5989010989010989,0.09132610508757298
NFLX,104,0.5714285714285714,0.09265734265734268
AMZN,75,0.41208791208791207,0.09260606060606062
AMD,75,0.41208791208791207,0.09127272727272727
AAPL,69,0.3791208791208791,0.09341238471673254
ISRG,66,0.3626373626373626,0.09242424242424244
META,64,0.3516483516483517,0.09176136363636365
ADBE,64,0.3516483516483517,0.09161931818181819
GE,53,0.29120879120879123,0.0914236706689537
SBUX,53,0.29120879120879123,0.09485420240137221
MA,52,0.2857142857142857,0.09405594405594407
CAT,52,0.2857142857142857,0.0923076923076923
MSFT,50,0.27472527472527475,0.0910909090909091
UNH,47,0.25824175824175827,0.09342359767891682
GS,46,0.25274725274725274,0.09209486166007905
